analysis_unit_id,accession,input_relative_path,raw_left_label,raw_right_label,orientation_multiplier,unified_contrast_label,flight_group_label,control_group_label,n_flight_samples,n_control_samples,flight_samples,control_samples,expression_scale,score_method
OSD-462,OSD-462,02_processed_data/osdr_processed/OSD-462/GLDS-462_rna_seq_differential_expression_mRNA_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,10,10,RR10_KDN_WT_FLT_F1_mRNA_techrep1;RR10_KDN_WT_FLT_F3_mRNA;RR10_KDN_WT_FLT_F5_mRNA_techrep1;RR10_KDN_WT_FLT_F7_mRNA;RR10_KDN_WT_FLT_F9_mRNA;RR10_KDN_WT_FLT_F12_mRNA;RR10_KDN_WT_FLT_F14_mRNA;RR10_KDN_WT_FLT_F16_mRNA;RR10_KDN_WT_FLT_F18_mRNA;RR10_KDN_WT_FLT_F20_mRNA,RR10_KDN_WT_GC_G1_mRNA;RR10_KDN_WT_GC_G3_mRNA_techrep1;RR10_KDN_WT_GC_G5_mRNA;RR10_KDN_WT_GC_G7_mRNA;RR10_KDN_WT_GC_G9_mRNA;RR10_KDN_WT_GC_G12_mRNA;RR10_KDN_WT_GC_G14_mRNA;RR10_KDN_WT_GC_G16_mRNA;RR10_KDN_WT_GC_G18_mRNA;RR10_KDN_WT_GC_G20_mRNA,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-463,OSD-463,02_processed_data/osdr_processed/OSD-463/GLDS-463_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,9,9,RR23_LVR_FLT_F1;RR23_LVR_FLT_F2;RR23_LVR_FLT_F3;RR23_LVR_FLT_F4;RR23_LVR_FLT_F5;RR23_LVR_FLT_F6;RR23_LVR_FLT_F7_techrep1;RR23_LVR_FLT_F8_techrep1;RR23_LVR_FLT_F9,RR23_LVR_GC_G1_techrep1;RR23_LVR_GC_G2;RR23_LVR_GC_G3;RR23_LVR_GC_G4;RR23_LVR_GC_G5;RR23_LVR_GC_G6;RR23_LVR_GC_G7;RR23_LVR_GC_G8;RR23_LVR_GC_G9,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-464,OSD-464,02_processed_data/osdr_processed/OSD-464/GLDS-464_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,9,8,RR23_LNG_FLT_F1;RR23_LNG_FLT_F2;RR23_LNG_FLT_F3;RR23_LNG_FLT_F4;RR23_LNG_FLT_F5;RR23_LNG_FLT_F6;RR23_LNG_FLT_F7_techrep1;RR23_LNG_FLT_F8;RR23_LNG_FLT_F9,RR23_LNG_GC_G1;RR23_LNG_GC_G2_techrep1;RR23_LNG_GC_G3;RR23_LNG_GC_G4;RR23_LNG_GC_G5;RR23_LNG_GC_G6;RR23_LNG_GC_G7;RR23_LNG_GC_G8,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-506,OSD-506,02_processed_data/osdr_processed/OSD-506/GLDS-506_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,9,8,RR23_SPL_FLT_F1;RR23_SPL_FLT_F2;RR23_SPL_FLT_F3;RR23_SPL_FLT_F4;RR23_SPL_FLT_F5;RR23_SPL_FLT_F6;RR23_SPL_FLT_F7;RR23_SPL_FLT_F8;RR23_SPL_FLT_F9,RR23_SPL_GC_G1;RR23_SPL_GC_G2;RR23_SPL_GC_G3;RR23_SPL_GC_G4;RR23_SPL_GC_G6_techrep1;RR23_SPL_GC_G7;RR23_SPL_GC_G8;RR23_SPL_GC_G9,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-511,OSD-511,02_processed_data/osdr_processed/OSD-511/GLDS-511_rna_seq_differential_expression.csv,10 to 12 week & Ground Control,10 to 12 week & Space Flight,-1,Space Flight vs Ground,10 to 12 week & Space Flight,10 to 12 week & Ground Control,5,8,RRRM1_MG_FLT_LAR_YNG_FL2;RRRM1_MG_FLT_LAR_YNG_FL5;RRRM1_MG_FLT_LAR_YNG_FL6;RRRM1_MG_FLT_LAR_YNG_FL14;RRRM1_MG_FLT_LAR_YNG_FL17,RRRM1_MG_GC_LAR_YNG_GL1;RRRM1_MG_GC_LAR_YNG_GL2;RRRM1_MG_GC_LAR_YNG_GL5;RRRM1_MG_GC_LAR_YNG_GL6;RRRM1_MG_GC_LAR_YNG_GL13;RRRM1_MG_GC_LAR_YNG_GL14;RRRM1_MG_GC_LAR_YNG_GL17;RRRM1_MG_GC_LAR_YNG_GL18,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-511__age_32w,OSD-511,02_processed_data/osdr_processed/OSD-511/GLDS-511_rna_seq_differential_expression.csv,32 week & Ground Control,32 week & Space Flight,-1,Space Flight vs Ground,32 week & Space Flight,32 week & Ground Control,5,7,RRRM1_MG_FLT_LAR_OLD_FL3;RRRM1_MG_FLT_LAR_OLD_FL4;RRRM1_MG_FLT_LAR_OLD_FL8;RRRM1_MG_FLT_LAR_OLD_FL11;RRRM1_MG_FLT_LAR_OLD_FL15,RRRM1_MG_GC_LAR_OLD_GL3;RRRM1_MG_GC_LAR_OLD_GL4;RRRM1_MG_GC_LAR_OLD_GL7;RRRM1_MG_GC_LAR_OLD_GL8;RRRM1_MG_GC_LAR_OLD_GL11;RRRM1_MG_GC_LAR_OLD_GL12;RRRM1_MG_GC_LAR_OLD_GL16,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-512,OSD-512,02_processed_data/osdr_processed/OSD-512/GLDS-512_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,9,9,RR23_ADR_FLT_F1_techrep1;RR23_ADR_FLT_F2;RR23_ADR_FLT_F3;RR23_ADR_FLT_F4;RR23_ADR_FLT_F5;RR23_ADR_FLT_F6;RR23_ADR_FLT_F7;RR23_ADR_FLT_F8;RR23_ADR_FLT_F9,RR23_ADR_GC_G1_techrep1;RR23_ADR_GC_G2;RR23_ADR_GC_G3;RR23_ADR_GC_G4;RR23_ADR_GC_G5;RR23_ADR_GC_G6;RR23_ADR_GC_G7;RR23_ADR_GC_G8;RR23_ADR_GC_G9,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-513,OSD-513,02_processed_data/osdr_processed/OSD-513/GLDS-513_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,9,9,RR23_KDN_FLT_F1_techrep1;RR23_KDN_FLT_F2;RR23_KDN_FLT_F3;RR23_KDN_FLT_F4;RR23_KDN_FLT_F5;RR23_KDN_FLT_F6;RR23_KDN_FLT_F7;RR23_KDN_FLT_F8;RR23_KDN_FLT_F9,RR23_KDN_GC_G1_techrep1;RR23_KDN_GC_G2;RR23_KDN_GC_G3;RR23_KDN_GC_G4;RR23_KDN_GC_G5;RR23_KDN_GC_G6;RR23_KDN_GC_G7;RR23_KDN_GC_G8;RR23_KDN_GC_G9,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-515,OSD-515,02_processed_data/osdr_processed/OSD-515/GLDS-515_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,7,9,RR23_TMS_FLT_F1;RR23_TMS_FLT_F3;RR23_TMS_FLT_F4;RR23_TMS_FLT_F5;RR23_TMS_FLT_F7;RR23_TMS_FLT_F8;RR23_TMS_FLT_F9,RR23_TMS_GC_G1_techrep1;RR23_TMS_GC_G2;RR23_TMS_GC_G3;RR23_TMS_GC_G4;RR23_TMS_GC_G5;RR23_TMS_GC_G6;RR23_TMS_GC_G7;RR23_TMS_GC_G8;RR23_TMS_GC_G9,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-525,OSD-525,02_processed_data/osdr_processed/OSD-525/GLDS-525_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,9,9,RR23_Cb_FLT_F1_techrep1;RR23_Cb_FLT_F2;RR23_Cb_FLT_F3;RR23_Cb_FLT_F4;RR23_Cb_FLT_F5;RR23_Cb_FLT_F6;RR23_Cb_FLT_F7;RR23_Cb_FLT_F8;RR23_Cb_FLT_F9,RR23_Cb_GC_G1_techrep1;RR23_Cb_GC_G2;RR23_Cb_GC_G3;RR23_Cb_GC_G4;RR23_Cb_GC_G5;RR23_Cb_GC_G6;RR23_Cb_GC_G7;RR23_Cb_GC_G8;RR23_Cb_GC_G9,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-576,OSD-576,02_processed_data/osdr_processed/OSD-576/GLDS-570_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,9,9,RR23_R-TA_FLT_F1;RR23_R-TA_FLT_F2;RR23_R-TA_FLT_F3;RR23_R-TA_FLT_F4;RR23_R-TA_FLT_F5;RR23_R-TA_FLT_F6;RR23_R-TA_FLT_F7;RR23_R-TA_FLT_F8;RR23_R-TA_FLT_F9,RR23_R-TA_GC_G1;RR23_R-TA_GC_G2;RR23_R-TA_GC_G3;RR23_R-TA_GC_G4;RR23_R-TA_GC_G5;RR23_R-TA_GC_G6;RR23_R-TA_GC_G7;RR23_R-TA_GC_G8;RR23_R-TA_GC_G9,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-580,OSD-580,02_processed_data/osdr_processed/OSD-580/GLDS-573_rna_seq_differential_expression_GLbulkRNAseq.csv,Ground Control & 12 week & On Earth,Space Flight & 12 week & On Earth,-1,Space Flight vs Ground,Space Flight & 12 week & On Earth,Ground Control & 12 week & On Earth,5,10,RRRM2_HRT_FLT_LAR_YNG_FY6;RRRM2_HRT_FLT_LAR_YNG_FY8;RRRM2_HRT_FLT_LAR_YNG_FY10;RRRM2_HRT_FLT_LAR_YNG_FY12;RRRM2_HRT_FLT_LAR_YNG_FY14,RRRM2_HRT_GC_ISS-T_YNG_GY1;RRRM2_HRT_GC_ISS-T_YNG_GY3;RRRM2_HRT_GC_ISS-T_YNG_GY4;RRRM2_HRT_GC_ISS-T_YNG_GY5;RRRM2_HRT_GC_ISS-T_YNG_GY8;RRRM2_HRT_GC_LAR_YNG_GY1;RRRM2_HRT_GC_LAR_YNG_GY3;RRRM2_HRT_GC_LAR_YNG_GY5;RRRM2_HRT_GC_LAR_YNG_GY7;RRRM2_HRT_GC_LAR_YNG_GY9,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-580__age_29w,OSD-580,02_processed_data/osdr_processed/OSD-580/GLDS-573_rna_seq_differential_expression_GLbulkRNAseq.csv,Ground Control & 29 week & On Earth,Space Flight & 29 week & On Earth,-1,Space Flight vs Ground,Space Flight & 29 week & On Earth,Ground Control & 29 week & On Earth,5,10,RRRM2_HRT_FLT_LAR_OLD_FO1;RRRM2_HRT_FLT_LAR_OLD_FO3;RRRM2_HRT_FLT_LAR_OLD_FO5;RRRM2_HRT_FLT_LAR_OLD_FO17;RRRM2_HRT_FLT_LAR_OLD_FO19,RRRM2_HRT_GC_ISS-T_OLD_GO12;RRRM2_HRT_GC_ISS-T_OLD_GO13;RRRM2_HRT_GC_ISS-T_OLD_GO14;RRRM2_HRT_GC_ISS-T_OLD_GO15;RRRM2_HRT_GC_ISS-T_OLD_GO16;RRRM2_HRT_GC_LAR_OLD_GO11;RRRM2_HRT_GC_LAR_OLD_GO13;RRRM2_HRT_GC_LAR_OLD_GO15;RRRM2_HRT_GC_LAR_OLD_GO17;RRRM2_HRT_GC_LAR_OLD_GO19,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-599,OSD-599,02_processed_data/osdr_processed/OSD-599/GLDS-596_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,3,3,GSM6996080;GSM6996081;GSM6996082,GSM6996077;GSM6996078;GSM6996079,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-665,OSD-665,02_processed_data/osdr_processed/OSD-665/GLDS-604_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,9,9,RR23_R-EDL_FLT_F1_techrep1;RR23_R-EDL_FLT_F2;RR23_R-EDL_FLT_F3;RR23_R-EDL_FLT_F4;RR23_R-EDL_FLT_F5;RR23_R-EDL_FLT_F6;RR23_R-EDL_FLT_F7;RR23_R-EDL_FLT_F8;RR23_R-EDL_FLT_F9,RR23_R-EDL_GC_G1_techrep1;RR23_R-EDL_GC_G2;RR23_R-EDL_GC_G3;RR23_R-EDL_GC_G4;RR23_R-EDL_GC_G5;RR23_R-EDL_GC_G6;RR23_R-EDL_GC_G7;RR23_R-EDL_GC_G8;RR23_R-EDL_GC_G9,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-666,OSD-666,02_processed_data/osdr_processed/OSD-666/GLDS-605_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,9,9,RR23_R-Quad_FLT_F1_techrep1;RR23_R-Quad_FLT_F2;RR23_R-Quad_FLT_F3;RR23_R-Quad_FLT_F4;RR23_R-Quad_FLT_F5;RR23_R-Quad_FLT_F6;RR23_R-Quad_FLT_F7;RR23_R-Quad_FLT_F8;RR23_R-Quad_FLT_F9,RR23_R-Quad_GC_G1_techrep1;RR23_R-Quad_GC_G2;RR23_R-Quad_GC_G3;RR23_R-Quad_GC_G4;RR23_R-Quad_GC_G5;RR23_R-Quad_GC_G6;RR23_R-Quad_GC_G7;RR23_R-Quad_GC_G8;RR23_R-Quad_GC_G9,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-770,OSD-770,02_processed_data/osdr_processed/OSD-770/GLDS-673_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,9,9,RR23_R-SLS_FLT_F1_techrep1;RR23_R-SLS_FLT_F2;RR23_R-SLS_FLT_F3;RR23_R-SLS_FLT_F4;RR23_R-SLS_FLT_F5;RR23_R-SLS_FLT_F6;RR23_R-SLS_FLT_F7;RR23_R-SLS_FLT_F8;RR23_R-SLS_FLT_F9,RR23_R-SLS_GC_G1_techrep1;RR23_R-SLS_GC_G2;RR23_R-SLS_GC_G3;RR23_R-SLS_GC_G4;RR23_R-SLS_GC_G5;RR23_R-SLS_GC_G6;RR23_R-SLS_GC_G7;RR23_R-SLS_GC_G8;RR23_R-SLS_GC_G9,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-771,OSD-771,02_processed_data/osdr_processed/OSD-771/GLDS-674_rna_seq_differential_expression_GLbulkRNAseq.csv,Ground Control & 12 week & On Earth,Space Flight & 12 week & On Earth,-1,Space Flight vs Ground,Space Flight & 12 week & On Earth,Ground Control & 12 week & On Earth,5,10,RRRM2_R-KDN_FLT_LAR_OLD_FO1;RRRM2_R-KDN_FLT_LAR_OLD_FO5;RRRM2_R-KDN_FLT_LAR_YNG_FY8;RRRM2_R-KDN_FLT_LAR_YNG_FY12;RRRM2_R-KDN_FLT_LAR_OLD_FO17,RRRM2_R-KDN_GC_ISS-T_YNG_GY1;RRRM2_R-KDN_GC_ISS-T_YNG_GY3;RRRM2_R-KDN_GC_ISS-T_YNG_GY4;RRRM2_R-KDN_GC_ISS-T_YNG_GY5;RRRM2_R-KDN_GC_ISS-T_YNG_GY8;RRRM2_R-KDN_GC_LAR_YNG_GY7;RRRM2_R-KDN_GC_LAR_YNG_GY9;RRRM2_R-KDN_GC_LAR_OLD_GO11;RRRM2_R-KDN_GC_LAR_OLD_GO13;RRRM2_R-KDN_GC_LAR_OLD_GO15,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-771__age_29w,OSD-771,02_processed_data/osdr_processed/OSD-771/GLDS-674_rna_seq_differential_expression_GLbulkRNAseq.csv,Ground Control & 29 week & On Earth,Space Flight & 29 week & On Earth,-1,Space Flight vs Ground,Space Flight & 29 week & On Earth,Ground Control & 29 week & On Earth,5,10,RRRM2_R-KDN_FLT_LAR_OLD_FO3;RRRM2_R-KDN_FLT_LAR_YNG_FY6;RRRM2_R-KDN_FLT_LAR_YNG_FY10;RRRM2_R-KDN_FLT_LAR_YNG_FY14;RRRM2_R-KDN_FLT_LAR_OLD_FO19,RRRM2_R-KDN_GC_ISS-T_OLD_GO12;RRRM2_R-KDN_GC_ISS-T_OLD_GO13;RRRM2_R-KDN_GC_ISS-T_OLD_GO14;RRRM2_R-KDN_GC_ISS-T_OLD_GO15;RRRM2_R-KDN_GC_ISS-T_OLD_GO16;RRRM2_R-KDN_GC_LAR_YNG_GY1;RRRM2_R-KDN_GC_LAR_YNG_GY3;RRRM2_R-KDN_GC_LAR_YNG_GY5;RRRM2_R-KDN_GC_LAR_OLD_GO17;RRRM2_R-KDN_GC_LAR_OLD_GO19,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-162,OSD-162,02_processed_data/osdr_processed/OSD-162/GLDS-162_rna_seq_differential_expression.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,5,5,Mmus_BAL-TAL_EYE_FLT_Rep1_F1;Mmus_BAL-TAL_EYE_FLT_Rep2_F2;Mmus_BAL-TAL_EYE_FLT_Rep3_F3;Mmus_BAL-TAL_EYE_FLT_Rep4_F4;Mmus_BAL-TAL_EYE_FLT_Rep5_F5,Mmus_BAL-TAL_EYE_GC_Rep1_G1;Mmus_BAL-TAL_EYE_GC_Rep2_G2;Mmus_BAL-TAL_EYE_GC_Rep3_G4;Mmus_BAL-TAL_EYE_GC_Rep4_G5;Mmus_BAL-TAL_EYE_GC_Rep5_G7,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-420,OSD-420,02_processed_data/osdr_processed/OSD-420/GLDS-420_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,1,Space Flight vs Ground,Space Flight,Ground Control,10,10,RR9_SPL_FLT_F1;RR9_SPL_FLT_F6;RR9_SPL_FLT_F7;RR9_SPL_FLT_F3;RR9_SPL_FLT_F9;RR9_SPL_FLT_F5;RR9_SPL_FLT_F2;RR9_SPL_FLT_F8;RR9_SPL_FLT_F4;RR9_SPL_FLT_F10,RR9_SPL_GC_G4;RR9_SPL_GC_G10;RR9_SPL_GC_G1;RR9_SPL_GC_G7;RR9_SPL_GC_G2;RR9_SPL_GC_G6;RR9_SPL_GC_G9;RR9_SPL_GC_G5;RR9_SPL_GC_G8;RR9_SPL_GC_G3,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-690,OSD-690,02_processed_data/osdr_processed/OSD-690/GLDS-620_rna_seq_differential_expression_GLbulkRNAseq.csv,Wild Type & Ground Control,Wild Type & Space Flight,-1,Space Flight vs Ground,Wild Type & Space Flight,Wild Type & Ground Control,6,6,GSM7706834;GSM7706835;GSM7706836;GSM7706837;GSM7706838;GSM7706839,GSM7706822;GSM7706823;GSM7706824;GSM7706825;GSM7706826;GSM7706827,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-239,OSD-239,02_processed_data/osdr_processed/OSD-239/GLDS-239_rna_seq_differential_expression_GLbulkRNAseq.csv,Ground Control & 1G on Earth & JAXA Chow,Space Flight & uG & JAXA Chow,-1,Space Flight vs Ground,Space Flight & uG & JAXA Chow,Ground Control & 1G on Earth & JAXA Chow,2,3,Mmus_C57-6J_FSKN_FLT_uG_JC_Rep1_F2;Mmus_C57-6J_FSKN_FLT_uG_JC_Rep2_F9,Mmus_C57-6J_FSKN_GC_1G_JC_Rep1_G5;Mmus_C57-6J_FSKN_GC_1G_JC_Rep2_G6;Mmus_C57-6J_FSKN_GC_1G_JC_Rep3_G12,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-289,OSD-289,02_processed_data/osdr_processed/OSD-289/GLDS-289_rna_seq_differential_expression_GLbulkRNAseq.csv,MHU-1 & Ground Control & 1G on Earth,MHU-1 & Space Flight & uG,-1,Space Flight vs Ground,MHU-1 & Space Flight & uG,MHU-1 & Ground Control & 1G on Earth,3,3,Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep1;Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep2;Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep3,Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep1;Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep2;Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep3,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-289__MHU2,OSD-289,02_processed_data/osdr_processed/OSD-289/GLDS-289_rna_seq_differential_expression_GLbulkRNAseq.csv,MHU-2 & Space Flight & uG,MHU-2 & Vivarium Control & 1G on Earth,1,Space Flight vs Ground,MHU-2 & Space Flight & uG,MHU-2 & Vivarium Control & 1G on Earth,3,3,Mmus_C57-6J_TMS_MHU2_FLT_uG_Rep1;Mmus_C57-6J_TMS_MHU2_FLT_uG_Rep2;Mmus_C57-6J_TMS_MHU2_FLT_uG_Rep3,Mmus_C57-6J_TMS_MHU2_GC_1G_Rep1;Mmus_C57-6J_TMS_MHU2_GC_1G_Rep2;Mmus_C57-6J_TMS_MHU2_GC_1G_Rep3,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-686,OSD-686,02_processed_data/osdr_processed/OSD-686/GLDS-617_rna_seq_differential_expression_GLbulkRNAseq.csv,Ground Control & 1G on Earth,Space Flight & uG,-1,Space Flight vs Ground,Space Flight & uG,Ground Control & 1G on Earth,3,3,GSM7708688;GSM7708689;GSM7708690,GSM7708682;GSM7708683;GSM7708684,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-714,OSD-714,02_processed_data/osdr_processed/OSD-714/GLDS-638_rna_seq_differential_expression_GLbulkRNAseq.csv,Mouse Habitat Unit 1 (MHU-1) & Ground Control & 1G on Earth,Mouse Habitat Unit 1 (MHU-1) & Space Flight & uG,-1,Space Flight vs Ground,Mouse Habitat Unit 1 (MHU-1) & Space Flight & uG,Mouse Habitat Unit 1 (MHU-1) & Ground Control & 1G on Earth,3,3,DRS284036;DRS284037;DRS284038,DRS284030;DRS284031;DRS284032,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-758,OSD-758,02_processed_data/osdr_processed/OSD-758/GLDS-664_rna_seq_differential_expression_GLbulkRNAseq.csv,Ground Control & 1G on Earth,Space Flight & uG,-1,Space Flight vs Ground,Space Flight & uG,Ground Control & 1G on Earth,5,12,MHU-8_RTN_FLT_FLT05;MHU-8_RTN_FLT_FLT09;MHU-8_RTN_FLT_FLT13;MHU-8_RTN_FLT_FLT17;MHU-8_RTN_FLT_FLT21,MHU-8_RTN_HGC_HGC01;MHU-8_RTN_HGC_HGC02;MHU-8_RTN_HGC_HGC03;MHU-8_RTN_HGC_HGC04;MHU-8_RTN_HGC_HGC05;MHU-8_RTN_HGC_HGC06;MHU-8_RTN_HGC_HGC07;MHU-8_RTN_HGC_HGC08;MHU-8_RTN_HGC_HGC09;MHU-8_RTN_HGC_HGC10;MHU-8_RTN_HGC_HGC11;MHU-8_RTN_HGC_HGC12,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
OSD-759,OSD-759,02_processed_data/osdr_processed/OSD-759/GLDS-665_rna_seq_differential_expression_GLbulkRNAseq.csv,Ground Control & 1G on Earth,Space Flight & uG,-1,Space Flight vs Ground,Space Flight & uG,Ground Control & 1G on Earth,5,12,MHU-8_ON_FLT_FLT05;MHU-8_ON_FLT_FLT09;MHU-8_ON_FLT_FLT13;MHU-8_ON_FLT_FLT17;MHU-8_ON_FLT_FLT21,MHU-8_ON_HGC_HGC01;MHU-8_ON_HGC_HGC02;MHU-8_ON_HGC_HGC03;MHU-8_ON_HGC_HGC04;MHU-8_ON_HGC_HGC05;MHU-8_ON_HGC_HGC06;MHU-8_ON_HGC_HGC07;MHU-8_ON_HGC_HGC08;MHU-8_ON_HGC_HGC09;MHU-8_ON_HGC_HGC10;MHU-8_ON_HGC_HGC11;MHU-8_ON_HGC_HGC12,GeneLab differential-expression table sample columns; normalized-count scale with +1 pseudocount confirmed against independent Normalized_Counts files where available,single-direction singscore-equivalent normalized mean rank; Ensembl Gene ID merge
