accession,title,mission_name,category,confidence,euthanasia_after_landing_days,euthanasia_group_scope,evidence_sentence,evidence_sentence_1,evidence_sentence_2,evidence_sentence_count,source_field,notes,tissue_collection_after_landing_days,tissue_collection_timing_category,tissue_collection_scope,tissue_collection_confidence,tissue_collection_source_field,tissue_collection_source_value,tissue_collection_evidence_sentence,tissue_collection_evidence_sentence_1,tissue_collection_evidence_sentence_2,tissue_collection_evidence_sentence_count,tissue_collection_notes
OSD-513,Transcriptional profiling of kidneys from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (Jan 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (Jan 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls).",Space Flight=1,post_landing_api_dissection_date_derived,Ground Control; Space Flight; Vivarium Control,api_sample_dissection_date,API samples.table: Comment[BSP Dissection Date],Comment[BSP Dissection Date] [Ground Control]: 17-Jan-2021 (n=10) | Comment[BSP Dissection Date] [Space Flight]: 14-Jan-2021 (n=10) | Comment[BSP Dissection Date] [Vivarium Control]: 20-Jan-2021 (n=5),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '01/13/2021'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
OSD-515,Transcriptional profiling of thymus from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (Jan 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (Jan 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls).",Space Flight=1,post_landing_api_dissection_date_derived,Ground Control; Space Flight; Vivarium Control,api_sample_dissection_date,API samples.table: Comment[BSP Dissection Date],Comment[BSP Dissection Date] [Ground Control]: 17-Jan-2021 (n=10) | Comment[BSP Dissection Date] [Space Flight]: 14-Jan-2021 (n=10) | Comment[BSP Dissection Date] [Vivarium Control]: 20-Jan-2021 (n=5),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '01/13/2021'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
OSD-525,Transcriptional profiling of cerebellums from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (Jan 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (Jan 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls).",Space Flight=1,post_landing_api_dissection_date_derived,Ground Control; Space Flight; Vivarium Control,api_sample_dissection_date,API samples.table: Comment[BSP Dissection Date],Comment[BSP Dissection Date] [Ground Control]: 17-Jan-2021 (n=10) | Comment[BSP Dissection Date] [Space Flight]: 14-Jan-2021 (n=10) | Comment[BSP Dissection Date] [Vivarium Control]: 17-Jan-2021 (n=5),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '01/13/2021'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
OSD-576,Transcriptional profiling of tibialis anterior muscle from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (January 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (January 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls).",FLT=1,post_landing_description_dissection_date_derived,Flight (post-landing); HGC/VGC controls (no landing interval),api_description_dissection_date,API samples.table: Parameter Value[Euthanasia Date] | API description,Parameter Value[Euthanasia Date] [Ground Control]: 14-Jan-2021 (n=9) | Parameter Value[Euthanasia Date] [Space Flight]: 14-Jan-2021 (n=9) | Parameter Value[Euthanasia Date] [Vivarium Control]: 20-Jan-2021 (n=7) | API description gives return on Jan 13 and dissection on Jan 14/17/20,"Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",,1,"The API description explicitly says the animals were dissected on Jan 14, 17 or 20, respectively. The tissue field reports the flight dissection timing (FLT=1 d after the Jan 13 return); HGC and VGC are controls without a landing interval. It does not make an additional euthanasia assumption."
OSD-580,Transcriptional profiling of heart tissue from mice flown on the RRRM-2 mission,SpaceX-18,post_landing,explicit,24,flight_LAR only (ISS-T subgroup on-orbit),"To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 55-58 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 32 days and allowed to recover for 24 days (Live Animal Return, LAR) before sacrifice.","To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 55-58 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 32 days and allowed to recover for 24 days (Live Animal Return, LAR) before sacrifice.",,1,description,RRRM-2 (heart): LAR recovered 24 days before sacrifice; ISS-T subgroup sacrificed on-orbit after 55-58 days.,LAR=24,mixed_post_landing_and_on_orbit,LAR flight (analyzed); ISS-T flight on-orbit,api_description_euthanasia_proxy,API samples.table: Comment[Euthanasia Date (DD/MM/YYYY)] | API description,"Comment[Euthanasia Date (DD/MM/YYYY)] [Basal Control]: 22/07/2019 (n=10); 23/07/2019 (n=10) | Comment[Euthanasia Date (DD/MM/YYYY)] [Space Flight]: 16/09/2019 (n=3); 17/09/2019 (n=2) | API description: LAR animals were returned live, allowed to recover for 24 days, then sacrificed; ISS-T animals were sacrificed on-orbit","To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 55-58 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 32 days and allowed to recover for 24 days (Live Animal Return, LAR) before sacrifice.","To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 55-58 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 32 days and allowed to recover for 24 days (Live Animal Return, LAR) before sacrifice.",,1,The analyzed flight samples are LAR samples and therefore have a 24-day post-landing recovery before the terminal tissue procedure. The ISS-T subgroup was handled on-orbit and has no post-landing interval.
OSD-599,Transcriptomic Effects on the Mouse Heart Following 30 Days on the International Space Station,NG-11,not_stated,not_stated,,n/a,,,,0,description,Description says mice were 'flown on the ISS for 30 days' but gives no post-landing euthanasia timing.,,not_stated,n/a,not_stated,,,,,,0,"Fresh API samples.table has no explicit dissection-date field, and no separate tissue-collection timing was stated."
OSD-665,Transcriptional profiling of right extensor digitorum longus muscle from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (January 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (January 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls).",FLT=1,post_landing_description_dissection_date_derived,Flight (post-landing); HGC/VGC controls (no landing interval),api_description_dissection_date,API samples.table: Comment[Euthanasia Date] | API description,Comment[Euthanasia Date] [Ground Control]: 14-Jan-2021 (n=1); 17-Jan-2021 (n=9) | Comment[Euthanasia Date] [Space Flight]: 14-Jan-2021 (n=10) | Comment[Euthanasia Date] [Vivarium Control]: 17-Jan-2021 (n=2); 20-Jan-2021 (n=3) | API description gives return on Jan 13 and dissection on Jan 14/17/20,"Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",,1,"The API description explicitly says the animals were dissected on Jan 14, 17 or 20, respectively. The tissue field reports the flight dissection timing (FLT=1 d after the Jan 13 return); HGC and VGC are controls without a landing interval. It does not make an additional euthanasia assumption."
OSD-666,Transcriptional profiling of right quadriceps femoris muscle from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (HGC/VGC are controls),"Flight mice were then returned to Earth alive (January 13th, 2021). ... Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (January 13th, 2021).","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls).",FLT=1,post_landing_description_dissection_date_derived,Flight (post-landing); HGC/VGC controls (no landing interval),api_description_dissection_date,API samples.table: Comment[Euthanasia Date] | API description,Comment[Euthanasia Date] [Ground Control]: 17-Jan-2021 (n=10) | Comment[Euthanasia Date] [Space Flight]: 14-Jan-2021 (n=10) | Comment[Euthanasia Date] [Vivarium Control]: 20-Jan-2021 (n=5) | API description gives return on Jan 13 and dissection on Jan 14/17/20,"Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",,1,"The API description explicitly says the animals were dissected on Jan 14, 17 or 20, respectively. The tissue field reports the flight dissection timing (FLT=1 d after the Jan 13 return); HGC and VGC are controls without a landing interval. It does not make an additional euthanasia assumption."
OSD-667,Transcriptional profiling of colon from mice flown on the RR-10 mission,SpaceX-21,on_orbit,inferred_on_orbit,,all flight (euthanized on the ISS),"Then, following 28-29 days in microgravity, the Flight mice were euthanized.","Then, following 28-29 days in microgravity, the Flight mice were euthanized.",,1,description,RR-10 (colon): same on-orbit schedule as OSD-462. Post-landing time not applicable.,Space Flight=119,post_landing_api_dissection_date_derived,Basal Control; Ground Control; Space Flight,api_sample_dissection_date,API samples.table: Comment[BSP Dissection Date (dd-mmm-yyyy)],Comment[BSP Dissection Date (dd-mmm-yyyy)] [Basal Control]: 11-May-2021 (n=10) | Comment[BSP Dissection Date (dd-mmm-yyyy)] [Ground Control]: 14-May-2021 (n=6) | Comment[BSP Dissection Date (dd-mmm-yyyy)] [Space Flight]: 12-May-2021 (n=9),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '01/13/2021'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
OSD-686,Impact of spaceflight and artificial gravity on sulfur metabolism in mouse liver: sulfur metabolomic and transcriptomic analysis,SpaceX-12,not_stated,not_stated,,n/a,,,,0,description,Description says mice were 'on board the International Space Station for 30 days' but gives no post-landing euthanasia timing.,,not_stated,n/a,not_stated,,,,,,0,"Fresh API samples.table has no explicit dissection-date field, and no separate tissue-collection timing was stated."
OSD-690,Nrf2 alleviates spaceflight-induced immunosuppression and thrombotic microangiopathy in mice,SpaceX-14,not_stated,not_stated,,n/a,,,,0,description,Description says mice 'travelled in space for 31 days' but gives no post-landing euthanasia timing.,,not_stated,n/a,not_stated,,,,,,0,"Fresh API samples.table has no explicit dissection-date field, and no separate tissue-collection timing was stated."
OSD-714,Lunar gravity prevents skeletal muscle atrophy but not myofiber type shift in mice,"SpaceX-9, SpaceX-17, SpaceX-20",not_stated,proxy_tissue_collection,,flight (tissue collected 2 d; euthanasia not stated),,,,0,description,"Description states that skeletal muscle was collected 2 days after landing, but does not state when the mice were euthanized; do not use 2 d as a euthanasia interval.",2,post_landing_explicit,flight (skeletal muscle),api_description_explicit,API description,API description: skeletal muscle was collected two days after landing,"All mice survived and returned to Earth, and skeletal muscle was collected two days after landing.","All mice survived and returned to Earth, and skeletal muscle was collected two days after landing.",,1,This is the tissue-collection timing requested for the publication summary. The API description does not separately state euthanasia timing.
OSD-758,Artificial Gravity Attenuates the Transcriptomic Response to Spaceflight in the Optic Nerve and Retina -- Retina data,SpaceX-27,not_stated,not_stated,,n/a,,,,0,description,Description says tissue processed 'after returning them to Earth alive' but gives no number of days after landing.,Space Flight=0-1,post_landing_api_dissection_date_derived,Ground Control; Space Flight,api_sample_dissection_date,API samples.table: Parameter Value[BSP Dissection Date],Parameter Value[BSP Dissection Date] [Ground Control]: 19-Apr-2023 (n=2) | Parameter Value[BSP Dissection Date] [Space Flight]: 15-Apr-2023 (n=3); 16-Apr-2023 (n=20),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '4/15/23'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
OSD-759,Artificial Gravity Attenuates the Transcriptomic Response to Spaceflight in the Optic Nerve and Retina -- Optic nerve data,SpaceX-27,not_stated,not_stated,,n/a,,,,0,description,Description says tissue processed 'after returning them to Earth alive' but gives no number of days after landing.,Space Flight=0-1,post_landing_api_dissection_date_derived,Ground Control; Space Flight,api_sample_dissection_date,API samples.table: Parameter Value[BSP Dissection Date],Parameter Value[BSP Dissection Date] [Ground Control]: 16-Apr-2023 (n=1); 19-Apr-2023 (n=1) | Parameter Value[BSP Dissection Date] [Space Flight]: 15-Apr-2023 (n=3); 16-Apr-2023 (n=20),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '4/15/23'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
OSD-770,Transcriptional profiling of soleus muscle from mice flown on the RR-23 mission,SpaceX-21,post_landing_date_derived,date_derived,1,flight (GC/VIV are controls),"Flight mice were then returned to Earth alive (January 13th, 2021). ... FLT, GC and VIV animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","Flight mice were then returned to Earth alive (January 13th, 2021).","FLT, GC and VIV animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",2,description,"RR-23: flight mice returned alive Jan 13 2021; flight animals euthanized Jan 14 2021 => ~1 d after landing (HGC Jan 17, VGC Jan 20 are ground controls).",FLT=1,post_landing_description_dissection_date_derived,Flight (post-landing); HGC/VGC controls (no landing interval),api_description_dissection_date,API samples.table: Comment[Euthanasia Date] | API description,Comment[Euthanasia Date] [Ground Control]: 17-Jan-2021 (n=10) | Comment[Euthanasia Date] [Space Flight]: 14-Jan-2021 (n=10) | Comment[Euthanasia Date] [Vivarium Control]: 20-Jan-2021 (n=5) | API description gives return on Jan 13 and dissection on Jan 14/17/20,"FLT, GC and VIV animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.","FLT, GC and VIV animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively.",,1,"The API description explicitly says the animals were dissected on Jan 14, 17 or 20, respectively. The tissue field reports the flight dissection timing (FLT=1 d after the Jan 13 return); HGC and VGC are controls without a landing interval. It does not make an additional euthanasia assumption."
OSD-771,Transcriptional profiling of kidney tissue from mice flown on the Rodent Research Reference Mission-2 (RRRM-2),SpaceX-18,post_landing,explicit,24,flight_LAR only (ISS-T subgroup on-orbit),"To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 55-58 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 32 days and allowed to recover for 24 days (Live Animal Return, LAR) before sacrifice.","To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 55-58 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 32 days and allowed to recover for 24 days (Live Animal Return, LAR) before sacrifice.",,1,description,RRRM-2 (kidney): LAR recovered 24 days before sacrifice; ISS-T on-orbit.,LAR=24,mixed_post_landing_and_on_orbit,LAR flight (analyzed); ISS-T flight on-orbit,api_description_euthanasia_proxy,API samples.table: Comment[Euthanasia Date (DD/MM/YYYY)] | API description,"Comment[Euthanasia Date (DD/MM/YYYY)] [Basal Control]: 22-Jul-2019 (n=10); 23-Jul-2019 (n=10) | Comment[Euthanasia Date (DD/MM/YYYY)] [Space Flight]: 16-Sep-2019 (n=3); 17-Sep-2019 (n=2) | API description: LAR animals were returned live, allowed to recover for 24 days, then sacrificed; ISS-T animals were sacrificed on-orbit","To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 55-58 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 32 days and allowed to recover for 24 days (Live Animal Return, LAR) before sacrifice.","To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 55-58 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 32 days and allowed to recover for 24 days (Live Animal Return, LAR) before sacrifice.",,1,The analyzed flight samples are LAR samples and therefore have a 24-day post-landing recovery before the terminal tissue procedure. The ISS-T subgroup was handled on-orbit and has no post-landing interval.
OSD-899,Transcriptional profiling of cecum from mice flown on the RR-10 mission,SpaceX-21,on_orbit,inferred_on_orbit,,all flight (euthanized on the ISS),"Then, following 28-29 days in microgravity, the Flight mice were euthanized.","Then, following 28-29 days in microgravity, the Flight mice were euthanized.",,1,description,RR-10 (cecum): same on-orbit schedule as OSD-462. Post-landing time not applicable.,Space Flight=119,post_landing_api_dissection_date_derived,Basal Control; Space Flight,api_sample_dissection_date,API samples.table: Comment[BSP Dissection Date],Comment[BSP Dissection Date] [Basal Control]: 11-May-2021 (n=20) | Comment[BSP Dissection Date] [Space Flight]: 12-May-2021 (n=5),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '1/13/21'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
OSD-900,Transcriptional profiling of lungs from mice flown on the RR-10 mission,SpaceX-21,on_orbit,inferred_on_orbit,,all flight (euthanized on the ISS),"Then, following 28-29 days in microgravity, the Flight mice were euthanized.","Then, following 28-29 days in microgravity, the Flight mice were euthanized.",,1,description,RR-10 (lung): same on-orbit schedule as OSD-462. Post-landing time not applicable.,Space Flight=119,post_landing_api_dissection_date_derived,Basal Control; Ground Control; Space Flight,api_sample_dissection_date,API samples.table: Comment[BSP Dissection Date],Comment[BSP Dissection Date] [Basal Control]: 11-May-2021 (n=12) | Comment[BSP Dissection Date] [Ground Control]: 14-May-2021 (n=3) | Comment[BSP Dissection Date] [Space Flight]: 12-May-2021 (n=10),,,,0,API samples.table provides dissection date(s) for the flight group; day differences use the API missionEnd '01/13/2021'. Control-group dates are retained as raw provenance but have no landing interval. This is a tissue collection/dissection timing and is not a separately inferred euthanasia interval.
OSD-99,Rodent Research-1 (RR1) NASA Validation Flight: Mouse extensor digitorum longus muscle transcriptomic and epigenomic data,SpaceX-4,not_stated,not_stated,,n/a,,,,0,description,RR-1 archived-tissue re-analysis; description says tissue was 'stored at least a year at -80C after return to Earth' but gives no post-landing euthanasia timing.,,not_stated,n/a,not_stated,,,,,,0,"Fresh API samples.table has no explicit dissection-date field, and no separate tissue-collection timing was stated."
